CustomerID,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER,MONDAY_ORDERS,TUESDAY_ORDERS,WEDNESDAY_ORDERS,THURSDAY_ORDERS,FRIDAY_ORDERS,SATURDAY_ORDERS,SUNDAY_ORDERS,MONDAY_REVENUE,TUESDAY_REVENUE,WEDNESDAY_REVENUE,THURSDAY_REVENUE,FRIDAY_REVENUE,SATURDAY_REVENUE,SUNDAY_REVENUE,WEEK1_DAY01_DAY07_ORDERS,WEEK2_DAY08_DAY15_ORDERS,WEEK3_DAY16_DAY23_ORDERS,WEEK4_DAY24_DAY31_ORDERS,WEEK1_DAY01_DAY07_REVENUE,WEEK2_DAY08_DAY15_REVENUE,WEEK3_DAY16_DAY23_REVENUE,WEEK4_DAY24_DAY31_REVENUE,TIME_0000_0600_ORDERS,TIME_0601_1200_ORDERS,TIME_1200_1800_ORDERS,TIME_1801_2359_ORDERS,TIME_0000_0600_REVENUE,TIME_0601_1200_REVENUE,TIME_1200_1800_REVENUE,TIME_1801_2359_REVENUE,LOG_REVENUE,CUSTOMER_LIFETIME_VALUE,ORDER_FREQUENCY
22,8.765123457457083,2.330461068836544,96.67,529.59,4.27,2016-12-30,2021-10-24,14.19,1,13,13,29,25,19,15,10,1287.5,1054.15,2842.52,2133.79,2051.94,1496.33,1120.31,28,42,30,24,2685.37,4299.28,2592.18,2409.71,12,61,37,14,1067.92,5674.65,3916.53,1327.44,8.517589113028931,2500.4900000000002,0.07045454545454545
29,5.45245801806742,2.330461068836544,134.46,97.92,1.19,2018-03-31,2021-10-24,15.89,1,11,13,10,13,14,10,11,1253.08,2003.25,1819.75,1114.83,1791.86,1624.34,1418.85,18,19,19,26,1336.09,2776.02,2807.66,4106.19,1,13,24,44,30.25,3143.69,2205.47,5646.55,8.517589113028931,2500.4900000000002,0.06288343558282208
83,2.3764115386341618,2.330461068836544,168.83,171.69,3.99,2017-11-30,2021-10-24,33.12,1,5,4,3,5,5,8,13,698.95,504.97,197.97,1182.97,733.96,1223.96,2716.91,9,11,6,17,2299.93,1383.92,713.94,2861.9,0,6,12,25,0.0,707.98,2560.91,3990.8,8.517589113028931,2500.4900000000002,0.030175438596491227
95,2.4552845252862965,2.330461068836544,158.92,92.82,2.11,2019-04-09,2021-10-24,21.11,1,10,8,5,8,5,3,5,1753.95,1400.23,570.48,1154.06,798.07,630.0,685.48,12,15,9,8,2317.95,2417.22,997.02,1260.08,0,10,13,21,0.0,1908.99,2025.05,3058.23,8.517589113028931,2500.4900000000002,0.047311827956989246
124,3.322887378459779,2.330461068836544,113.88,179.04,3.26,2020-10-23,2021-10-24,6.65,1,2,3,8,8,12,10,12,150.98,330.38,1090.23,563.63,1339.44,956.56,1832.22,10,18,21,6,831.14,1938.18,2725.66,768.46,6,9,27,13,501.34,1197.83,3004.77,1559.5,8.517589113028931,2500.4900000000002,0.14986376021798364
153,2.8496494585469705,2.330461068836544,119.21,96.84,1.98,2015-07-26,2021-10-24,46.57,1,6,7,9,8,6,7,6,563.98,601.0,895.48,818.96,929.47,1255.87,776.48,11,11,14,13,1470.95,1326.36,1595.97,1447.96,0,20,23,6,0.0,2482.33,2759.43,599.48,8.517589113028931,2500.4900000000002,0.02146298729741568
187,2.3764115386341618,2.330461068836544,127.22,128.77,2.99,2019-01-14,2021-10-24,23.58,1,5,6,3,3,11,7,8,395.7,964.58,588.98,798.97,1175.54,517.87,1028.63,3,2,16,22,611.49,117.0,2042.31,2699.47,2,0,19,22,47.0,0.0,2578.28,2844.99,8.517589113028931,2500.4900000000002,0.042364532019704436
219,3.2440143918076445,2.330461068836544,96.31,237.53,4.4,2019-11-19,2021-10-24,13.06,1,17,5,7,4,5,9,7,1612.17,492.45,595.04,458.96,350.15,1120.52,571.24,10,19,10,15,983.11,2123.54,754.72,1339.16,2,22,24,6,273.18,2328.21,1980.99,618.15,8.517589113028931,2500.4900000000002,0.0764872521246459
258,0.48345985898292565,2.307500102609836,261.42,51.91,2.73,2021-03-03,2021-10-24,12.37,1,4,6,5,2,0,0,2,1930.6,1323.97,533.37,474.19,0.0,0.0,704.93,7,2,9,1,1431.95,383.18,2588.19,563.74,1,0,8,10,332.19,0.0,1673.1,2961.77,8.510784700835071,2483.53,0.08050847457627118
308,0.6412058322871953,2.1445801335224486,225.07,63.88,3.04,2020-01-06,2021-10-24,31.29,1,1,2,9,2,3,1,3,36.0,422.99,1732.94,922.48,626.99,333.0,651.98,7,4,5,5,1318.95,1320.48,1094.98,991.97,4,11,6,0,1095.98,1867.94,1762.46,0.0,8.46112641681542,2363.19,0.031914893617021274
491,1.9031736187213526,1.6082398513759915,106.33,162.5,4.39,2014-08-30,2021-10-24,70.59,1,3,5,7,5,4,7,6,491.54,471.95,556.93,571.68,523.93,634.34,683.68,9,10,7,11,686.2,1262.83,604.64,1380.38,2,15,7,13,200.38,1872.32,567.84,1293.51,8.277678867251081,1967.025,0.014159969383849981
492,0.5623328456350605,1.6080841608620724,196.69,74.87,3.74,2015-09-15,2021-10-24,111.55,1,3,3,4,3,2,3,2,370.92,382.99,739.47,968.99,268.99,455.97,746.49,7,3,5,5,1771.97,744.98,587.95,828.92,0,5,9,6,0.0,801.41,2025.95,1106.46,8.277620416476148,1966.91,0.008960573476702509
572,0.6412058322871953,1.5026546063275847,179.91,91.07,4.34,2021-01-25,2021-10-24,12.95,1,6,1,1,1,2,3,7,460.39,188.39,125.99,73.19,118.99,541.17,2269.95,8,1,4,8,1560.77,105.19,475.82,1636.29,5,8,5,3,316.77,1776.56,1460.56,224.18,8.237233226596826,1889.035,0.07692307692307693
595,1.6665546587649482,1.4670556318622958,109.57,115.78,3.41,2020-02-17,2021-10-24,18.09,1,6,4,4,6,8,1,5,704.46,414.46,389.98,638.98,852.49,107.99,617.12,2,13,7,12,191.88,1410.41,747.44,1375.75,17,4,8,5,1546.1,532.97,866.93,779.48,8.223219367341024,1862.74,0.05519480519480519
613,1.4299356988085437,1.4228124492980956,118.07,114.77,3.7,2018-04-01,2021-10-24,42.0,1,9,2,2,1,4,2,11,1017.44,196.48,263.98,179.99,659.97,459.68,882.58,6,6,11,8,983.46,582.95,1248.32,845.39,2,8,11,10,289.98,1108.84,869.19,1392.11,8.20552439051258,1830.06,0.023791250959324637
669,1.193316738852139,1.346869324269369,126.71,61.68,2.2,2014-05-19,2021-10-24,96.96,1,1,9,7,5,1,0,5,116.1,1138.23,1054.27,409.25,183.6,0.0,646.48,0,18,7,3,0.0,2182.19,1028.29,337.45,0,2,13,13,0.0,184.99,1553.33,1809.61,8.174401428586101,1773.965,0.010309278350515464
671,1.4299356988085437,1.3467136337554497,114.44,150.7,4.86,2020-12-02,2021-10-24,10.52,1,0,5,6,3,3,7,7,0.0,709.96,724.94,283.97,388.97,792.93,646.93,8,6,6,11,831.92,813.95,772.94,1128.89,4,1,18,8,447.96,123.99,2162.83,812.92,8.174336618219801,1773.85,0.09480122324159021
740,-0.147524034234153,1.2480667703056205,309.27,45.87,4.17,2019-02-11,2021-10-24,89.64,1,1,3,2,2,0,2,1,136.99,1224.08,270.99,671.99,0.0,860.99,236.93,1,3,2,5,367.99,711.98,566.48,1755.52,2,2,4,3,604.92,954.49,1027.57,814.99,8.132403858711239,1700.985,0.011144883485309016
750,0.5623328456350605,1.2407019320819594,169.55,61.89,3.09,2021-04-25,2021-10-24,9.1,1,1,2,0,1,3,7,6,215.0,208.08,0.0,67.09,620.0,1137.95,1142.97,0,3,3,14,0.0,288.67,529.99,2572.43,1,5,8,6,68.09,949.48,1300.05,1073.47,8.129201529578667,1695.545,0.1092896174863388
785,0.16796791237438632,1.1944956952118204,221.52,45.93,3.06,2020-04-25,2021-10-24,36.47,1,0,3,1,3,5,1,2,0.0,473.99,107.99,544.98,1058.78,407.0,730.09,1,6,5,3,225.0,1042.86,1013.98,1040.99,0,5,5,5,0.0,1011.07,1418.97,892.79,8.108873011466518,1661.415,0.02737226277372263
795,1.272189725504274,1.1829678280290128,113.99,103.8,3.58,2020-11-12,2021-10-24,11.93,1,0,4,5,2,4,8,6,0.0,705.97,598.95,215.99,434.97,714.95,634.97,3,8,7,11,545.97,910.96,661.94,1186.93,0,7,8,14,0.0,467.97,991.94,1845.89,8.103736233378521,1652.9,0.08357348703170028
806,0.010221939070116669,1.1707630455682947,252.91,42.92,3.3,2016-03-22,2021-10-24,157.08,1,1,1,1,1,1,5,3,367.49,104.99,300.0,391.5,514.99,568.17,1040.63,2,7,1,3,577.48,2159.17,104.99,446.13,1,1,2,9,55.0,391.5,1008.49,1832.78,8.098268913673905,1643.885,0.006363191385217817
854,0.010221939070116669,1.1279684616988224,248.04,24.95,1.92,2017-04-12,2021-10-24,127.38,1,4,0,4,1,3,0,1,812.07,0.0,1526.98,247.5,162.0,0.0,476.0,5,1,2,5,808.08,144.99,165.99,2105.49,0,8,5,0,0.0,1676.57,1547.98,0.0,8.07885875732479,1612.275,0.007845503922751962
